dataset,transcript,expected_shortened
general,Can you bring me a glass of water please?,Water request
general,"I'm really thirsty, could someone get me some water?",Water request
general,Could I have something to eat please?,Food request
general,"I'm hungry, can I get some toast?",Toast request
general,Could you bring me a sandwich?,Sandwich request
general,I haven't eaten in a while and I'm getting hungry.,Food request
general,Can someone help me get to the bathroom?,Bathroom assistance
general,I need help getting out of bed.,Getting out of bed assistance
general,Could someone help me sit up?,Sitting assistance
general,I can't reach the call button.,Call button assistance
general,Could someone adjust my pillow?,Pillow adjustment
general,Can I have another blanket?,Blanket request
general,"I'm feeling cold, could I have a blanket?",Blanket request
general,Can you turn the light down please?,Light adjustment
general,Could you close the curtains?,Curtain adjustment
general,Can someone open the window?,Window adjustment
general,Could I have some tissues please?,Tissues request
general,Can you bring me a towel?,Towel request
general,I need some help washing my hands.,Handwashing assistance
general,Could someone help me get dressed?,Dressing assistance
general,I need help with my shoes.,Shoe assistance
general,Can you help me find my glasses?,Glasses retrieval assistance
general,I can't find my phone.,Phone retrieval assistance
general,Could someone bring my phone over?,Phone retrieval assistance
general,My headphones are out of reach.,Headphones retrieval assistance
general,Can you get my bag from over there?,Bag retrieval assistance
general,Could someone bring my book?,Book retrieval assistance
general,I need my charger please.,Charger request
general,Can you plug my charger in?,Charger assistance
general,Could someone turn the television on?,Television assistance
general,Can you turn the television off?,Television assistance
general,Could you lower the television volume?,Television volume adjustment
general,I can't hear the television very well.,Television volume adjustment
general,Can someone come and check on me?,Check-in request
general,Could a nurse come to my room please?,Nurse assistance request
general,Can someone come when they get a chance?,Staff assistance request
general,I'm not feeling very well.,Health check request
general,I don't feel right today.,Health check request
general,Could someone check how I'm doing?,Health check request
general,I'm feeling dizzy.,Dizziness assistance
general,I feel lightheaded.,Lightheadedness assistance
general,I'm feeling sick.,Nausea assistance
general,My head hurts.,Headache assistance
general,I have a headache.,Headache assistance
general,My stomach hurts.,Stomach pain assistance
general,My back is hurting.,Back pain assistance
general,My lower back is sore.,Lower back pain assistance
general,My leg hurts.,Leg pain assistance
general,My knee is painful.,Knee pain assistance
general,My arm is hurting.,Arm pain assistance
general,My shoulder hurts.,Shoulder pain assistance
