transcript,expected_shortened
Could you please come over now i am really scared something is happening to me,Immediate assistance request
Hey im so sorry but i cant reach my headphones and its under my bed is there any chance you can grab it for me,Headphones retrieval assistance
Im really hungry can i please have some food? Thank you,Food request
Im suddenly struggling to breathe can you please come now,Breathing difficulty assistance
Hey Im not feeling quite well can i please get checked up on Thank you,Health check request
Im not feeling well can you check me out,Health check request
My leg really hurts what's the step to fix it,Leg pain assistance
I'm really hungry could I get a cheese sandwhich,Cheese sandwich request
Uh help My heads hurting my head's hurting.,Headache assistance
Has the doctor called my family yet,Family contact update
Could you guys send a nurse down here I'm feeling a bit dizzy and sick,Dizziness and nausea assistance
How many doses of pain killers am i allowed to take,Medication dosage question
Could i get a fresh blanket and pillow please,Blanket and pillow request
I'm having a bit of pain in my lower back is that normal,Lower back pain question
Are there any updates on my condition,Condition update request
"Im getting a bit hungry, do you guys have any food or snacks i can eat",Food or snack request
Could you guys send a nurse down here i need help getting to the bathroom,Bathroom assistance
Do you guys have any pain medication i can take my leg hurts alot,Pain medication request
The monitor is beeping alot is it meant to do that,Monitor beeping question
Could i get a nurse in here im having trouble breathing,Breathing difficulty assistance
I'm a bit thirsty could i get a glass of water please,Water request
I feel very lightheaded and dizzy right now could someone come into the room,Dizziness and lightheadedness assistance
I can't breathe can someone come into the room please,Breathing difficulty assistance
"Ran out of Mango slices, can you bring some mango slices into the room please hehe",Mango slices request
Excuse me can i can i have some water im feeling very thirsty,Water request
