id,dataset,transcript,expected,groq__openai_gpt-oss-120b,groq__openai_gpt-oss-20b,groq__qwen_qwen3.8-27b
1,general,Can you bring me a glass of water please?,Water request,Water request,Water request,Water request
2,general,"I'm really thirsty, could someone get me some water?",Water request,Water Request   <MISS>,Water request,Water request
3,general,Could I have something to eat please?,Food request,Food Request   <MISS>,Food request,Food request
4,general,"I'm hungry, can I get some toast?",Toast request,Toast request,Toast request,Toast request
5,general,Could you bring me a sandwich?,Sandwich request,Sandwich Request   <MISS>,Sandwich request,Sandwich request
6,general,I haven't eaten in a while and I'm getting hungry.,Food request,Food request,Food request,Food request
7,general,Can someone help me get to the bathroom?,Bathroom assistance,Bathroom assistance,Bathroom assistance,Bathroom assistance
8,general,I need help getting out of bed.,Getting out of bed assistance,Bed Assistance   <MISS>,Bed assistance   <MISS>,Bed exit assistance   <MISS>
9,general,Could someone help me sit up?,Sitting assistance,Sit Up Assistance   <MISS>,Sit up assistance   <MISS>,Sitting up assistance   <MISS>
10,general,I can't reach the call button.,Call button assistance,Call Button Assistance   <MISS>,Call button assistance,Call button assistance
11,general,Could someone adjust my pillow?,Pillow adjustment,Pillow Adjustment   <MISS>,Pillow adjustment,Pillow adjustment
12,general,Can I have another blanket?,Blanket request,Blanket Request   <MISS>,Blanket request,Blanket request
13,general,"I'm feeling cold, could I have a blanket?",Blanket request,Blanket request,Blanket request,Blanket request
14,general,Can you turn the light down please?,Light adjustment,Light adjustment,Light adjustment,Light adjustment
15,general,Could you close the curtains?,Curtain adjustment,Curtains adjustment   <MISS>,Curtains adjustment   <MISS>,Curtains adjustment   <MISS>
16,general,Can someone open the window?,Window adjustment,Window Adjustment   <MISS>,Window adjustment,Window adjustment
17,general,Could I have some tissues please?,Tissues request,Tissues Request   <MISS>,Tissues request,Tissues request
18,general,Can you bring me a towel?,Towel request,Towel Request   <MISS>,Towel request,Towel request
19,general,I need some help washing my hands.,Handwashing assistance,Hand Washing Assistance   <MISS>,Hand washing assistance   <MISS>,Hand washing assistance   <MISS>
20,general,Could someone help me get dressed?,Dressing assistance,Dressing Assistance   <MISS>,Dressed assistance   <MISS>,Dressing assistance
21,general,I need help with my shoes.,Shoe assistance,Shoes Assistance   <MISS>,Shoes assistance   <MISS>,Shoe assistance
22,general,Can you help me find my glasses?,Glasses retrieval assistance,Glasses Assistance   <MISS>,Glasses assistance   <MISS>,Glasses request   <MISS>
23,general,I can't find my phone.,Phone retrieval assistance,Phone request   <MISS>,Phone assistance   <MISS>,Phone request   <MISS>
24,general,Could someone bring my phone over?,Phone retrieval assistance,Phone Request   <MISS>,Phone request   <MISS>,Phone request   <MISS>
25,general,My headphones are out of reach.,Headphones retrieval assistance,Headphones Request   <MISS>,Headphones adjustment   <MISS>,Headphones request   <MISS>
26,general,Can you get my bag from over there?,Bag retrieval assistance,Bag Request   <MISS>,Bag request   <MISS>,Bag retrieval request   <MISS>
27,general,Could someone bring my book?,Book retrieval assistance,Book Request   <MISS>,Book request   <MISS>,Book request   <MISS>
28,general,I need my charger please.,Charger request,Charger Request   <MISS>,Charger request,Charger request
29,general,Can you plug my charger in?,Charger assistance,Charger Assistance   <MISS>,Charger request   <MISS>,Charger plug request   <MISS>
30,general,Could someone turn the television on?,Television assistance,Television adjustment   <MISS>,Television assistance,Television adjustment   <MISS>
31,general,Can you turn the television off?,Television assistance,Television Adjustment   <MISS>,Television adjustment   <MISS>,Television off adjustment   <MISS>
32,general,Could you lower the television volume?,Television volume adjustment,Television Volume Adjustment   <MISS>,Television volume adjustment,Television volume adjustment
33,general,I can't hear the television very well.,Television volume adjustment,Television Volume Adjustment   <MISS>,Television volume adjustment,Television volume adjustment
34,general,Can someone come and check on me?,Check-in request,Checkup Assistance   <MISS>,Check on assistance   <MISS>,Check in request   <MISS>
35,general,Could a nurse come to my room please?,Nurse assistance request,Nurse Assistance   <MISS>,Nurse assistance   <MISS>,Nurse visit request   <MISS>
36,general,Can someone come when they get a chance?,Staff assistance request,General assistance   <MISS>,Unclear request   <MISS>,Unclear request   <MISS>
37,general,I'm not feeling very well.,Health check request,Unclear request   <MISS>,Unclear request   <MISS>,Unclear request   <MISS>
38,general,I don't feel right today.,Health check request,General Discomfort Assistance   <MISS>,Unclear request   <MISS>,Unclear request   <MISS>
39,general,Could someone check how I'm doing?,Health check request,Health update   <MISS>,Status update   <MISS>,Wellness check request   <MISS>
40,general,I'm feeling dizzy.,Dizziness assistance,Dizziness Assistance   <MISS>,Dizziness assistance,Dizziness assistance
41,general,I feel lightheaded.,Lightheadedness assistance,Lightheadedness Assistance   <MISS>,Lightheadedness Assistance   <MISS>,Lightheadedness assistance
42,general,I'm feeling sick.,Nausea assistance,Sick Assistance   <MISS>,Sick assistance   <MISS>,Nausea assistance
43,general,My head hurts.,Headache assistance,Head Pain Assistance   <MISS>,Head pain assistance   <MISS>,Head pain assistance   <MISS>
44,general,I have a headache.,Headache assistance,Headache Assistance   <MISS>,Headache assistance,Headache assistance
45,general,My stomach hurts.,Stomach pain assistance,Stomach pain assistance,Stomach pain assistance,Stomach pain assistance
46,general,My back is hurting.,Back pain assistance,Back Pain Assistance   <MISS>,Back pain assistance,Back pain assistance
47,general,My lower back is sore.,Lower back pain assistance,Lower Back Assistance   <MISS>,Lower back pain assistance,Lower back pain assistance
48,general,My leg hurts.,Leg pain assistance,Leg Pain Assistance   <MISS>,Leg pain assistance,Leg pain assistance
49,general,My knee is painful.,Knee pain assistance,Knee Pain Assistance   <MISS>,Knee pain assistance,Knee pain assistance
50,general,My arm is hurting.,Arm pain assistance,Arm Pain Assistance   <MISS>,Arm pain assistance,Arm pain assistance
51,general,My shoulder hurts.,Shoulder pain assistance,Shoulder Pain Assistance   <MISS>,Shoulder pain assistance,Shoulder pain assistance
52,general,My chest feels uncomfortable.,Chest discomfort assistance,Chest Discomfort Assistance   <MISS>,Chest discomfort assistance,Chest discomfort assistance
53,general,I'm having trouble breathing.,Breathing difficulty assistance,Breathing Assistance   <MISS>,Breathing assistance   <MISS>,Breathing difficulty assistance
54,general,I feel short of breath.,Breathing difficulty assistance,Breathing assistance   <MISS>,Shortness of breath assistance   <MISS>,Shortness of breath assistance   <MISS>
55,general,I can't catch my breath.,Breathing difficulty assistance,Breathing Difficulty Assistance   <MISS>,Breathing assistance   <MISS>,Breathing difficulty assistance
56,general,I'm suddenly feeling very weak.,Weakness assistance,Weakness Assistance   <MISS>,Weakness assistance,Weakness assistance
57,general,I feel faint.,Faintness assistance,Faintness Assistance   <MISS>,Faint assistance   <MISS>,Faintness assistance
58,general,I'm feeling very tired.,Fatigue assistance,Fatigue Assistance   <MISS>,Fatigue assistance,Fatigue assistance
59,general,I feel confused.,Confusion assistance,Confusion Assistance   <MISS>,Confusion assistance,Confusion assistance
60,general,I don't know where I am.,Orientation assistance,Location Question   <MISS>,Unclear request   <MISS>,Location question   <MISS>
61,general,I'm having trouble sleeping.,Sleep assistance request,Sleep Difficulty Assistance   <MISS>,Sleep assistance   <MISS>,Sleep assistance   <MISS>
62,general,Can I have something for the pain?,Pain medication request,Pain Medication Request   <MISS>,Pain medication request,Pain medication request
63,general,Do I have any pain medicine available?,Pain medication request,Medication Availability Question   <MISS>,Pain medicine question   <MISS>,Pain medication availability question   <MISS>
64,general,When can I take my next pain medication?,Medication timing question,Medication timing question,Medication timing question,Medication timing question
65,general,How much pain medication can I take?,Medication dosage question,Medication question   <MISS>,Medication dosage question,Medication dosage question
66,general,Is this pain normal?,Pain question,Pain Question   <MISS>,Pain question,Pain question
67,general,Is my swelling normal?,Swelling question,Swelling Question   <MISS>,Swelling question,Swelling question
68,general,Can someone look at this for me?,Health check request,Unclear request   <MISS>,Unclear request   <MISS>,Unclear request   <MISS>
69,general,Could a doctor come and speak with me?,Doctor visit request,Doctor request   <MISS>,Doctor visit request,Doctor visit request
70,general,Has the doctor been here yet?,Doctor visit update,Doctor visit update,Doctor visit update,Doctor visit update
71,general,Are there any updates about me?,Condition update request,Status Update   <MISS>,Updates update   <MISS>,Status update   <MISS>
72,general,Can you tell me when my test results are ready?,Test result update,Test Results Update   <MISS>,Test results update   <MISS>,Test results update   <MISS>
73,general,Has anyone spoken to my family?,Family contact update,Family update   <MISS>,Family update   <MISS>,Family communication update   <MISS>
74,general,Could you call my family?,Family contact request,Family Request   <MISS>,Family call request   <MISS>,Family call request   <MISS>
75,general,Can someone tell my partner I'm okay?,Family contact request,Partner request   <MISS>,Partner message request   <MISS>,Partner update   <MISS>
76,general,When am I going home?,Discharge timing question,Discharge Update   <MISS>,Home question   <MISS>,Discharge timing question
77,general,Can you tell me what happens next?,Care update request,Next Steps Question   <MISS>,Unclear request   <MISS>,Next steps question   <MISS>
78,general,Why is the machine making that noise?,Monitor noise question,Machine Noise Question   <MISS>,Machine noise question   <MISS>,Machine noise question   <MISS>
79,general,The monitor keeps beeping.,Monitor beeping question,Monitor assistance   <MISS>,Monitor assistance   <MISS>,Monitor beeping assistance   <MISS>
80,general,Is this alarm supposed to be going off?,Alarm question,Alarm question,Alarm question,Alarm question
81,general,Could someone check the monitor?,Monitor check request,Monitor assistance   <MISS>,Monitor request   <MISS>,Monitor check request
82,general,Can you help me find my belongings?,Belongings assistance,Belongings Assistance   <MISS>,Belongings assistance,Belongings assistance
83,general,I think I've lost my wallet.,Wallet retrieval assistance,Wallet assistance   <MISS>,Wallet assistance   <MISS>,Wallet loss update   <MISS>
84,general,Can someone bring my clothes?,Clothing request,Clothes Request   <MISS>,Clothes Request   <MISS>,Clothes request   <MISS>
85,general,Could I have a clean gown?,Clean gown request,Gown Request   <MISS>,Gown request   <MISS>,Clean gown request
86,general,Can I have a fresh pillowcase?,Pillowcase request,Pillowcase Request   <MISS>,Pillowcase adjustment   <MISS>,Pillowcase request
87,general,Could you change my sheets?,Bed linen request,Sheets adjustment   <MISS>,Sheets adjustment   <MISS>,Bed sheets adjustment   <MISS>
88,general,I need help moving my chair.,Chair assistance,Chair Assistance   <MISS>,Chair assistance,Chair movement assistance   <MISS>
89,general,Can someone move the table closer?,Table adjustment,Table Adjustment   <MISS>,Table adjustment,Table position adjustment   <MISS>
90,general,Could you bring the table over here?,Table adjustment,Table adjustment,Table adjustment,Table adjustment
91,general,Can someone help me reach my food?,Food assistance,Food assistance,Food assistance,Food assistance
92,general,I can't open this packet.,Packet opening assistance,Packet assistance   <MISS>,Packet opening assistance,Packet opening assistance
93,general,Could you open this bottle for me?,Bottle opening assistance,Bottle Opening Assistance   <MISS>,Bottle assistance   <MISS>,Bottle opening assistance
94,general,Can someone help me use this remote?,Remote control assistance,Remote Assistance   <MISS>,Remote assistance   <MISS>,Remote assistance   <MISS>
95,general,Could you bring me a snack?,Snack request,Snack request,Snack request,Snack request
96,general,Do you have any fruit?,Fruit request,Fruit Question   <MISS>,Fruit request,Fruit request
97,general,Could I have some tea?,Tea request,Tea request,Tea request,Tea request
98,general,Can I get some juice?,Juice request,Juice Request   <MISS>,Juice request,Juice request
99,general,Could you bring me some milk?,Milk request,Milk Request   <MISS>,Milk request,Milk request
100,general,"I'm thirsty again, could I have some water?",Water request,Water Request   <MISS>,Water request,Water request
101,personal_data_injected,"Hi, I'm Daniel and I'm 72 years old. Could you bring me some water?",Water request,Water Request   <MISS>,Water request,Water request
102,personal_data_injected,"My name is Sarah, I'm 34, and I need help getting to the bathroom.",Bathroom assistance,Bathroom assistance,Bathroom assistance,Bathroom assistance
103,personal_data_injected,"I'm Michael, 61, and my lower back is hurting.",Lower back pain assistance,Lower Back Pain Assistance   <MISS>,Lower back pain assistance,Lower back pain assistance
104,personal_data_injected,I'm 48 years old and my name is Priya. Could someone check on me?,Check-in request,Check Assistance   <MISS>,Check on assistance   <MISS>,Check on patient request   <MISS>
105,personal_data_injected,"James here, I'm 29. Can I have something to eat?",Food request,Food request,Food request,Food request
106,personal_data_injected,"I'm Emma, 67, and I'm feeling dizzy.",Dizziness assistance,Dizziness Assistance   <MISS>,Dizziness assistance,Dizziness assistance
107,personal_data_injected,My name is Robert and I'm 80. I need another blanket.,Blanket request,Blanket Request   <MISS>,Blanket request,Blanket request
108,personal_data_injected,"I'm Olivia, 25, and I can't reach my phone.",Phone retrieval assistance,Phone Assistance   <MISS>,Phone adjustment   <MISS>,Phone assistance   <MISS>
109,personal_data_injected,"I'm William, 54, and I'm having trouble breathing.",Breathing difficulty assistance,Breathing Assistance   <MISS>,Breathing assistance   <MISS>,Breathing difficulty assistance
