id,dataset,transcript,expected,ollama__gemma3_4b,ollama__llama3.2_3b,ollama__phi4-mini,ollama__qwen3_1.7b,ollama__qwen3_4b
1,general,Can you bring me a glass of water please?,Water request,Water request,Water request,Water request,Water request,Water request
2,general,"I'm really thirsty, could someone get me some water?",Water request,Water request,Water request,Water request,Water request,Water request
3,general,Could I have something to eat please?,Food request,Food request,Food request,Food request,Food request,Food request
4,general,"I'm hungry, can I get some toast?",Toast request,Food request   <MISS>,Food request   <MISS>,Food request   <MISS>,Toast request,Toast request
5,general,Could you bring me a sandwich?,Sandwich request,Food request   <MISS>,Sandwich request,Food request   <MISS>,Sandwich request,Sandwich request
6,general,I haven't eaten in a while and I'm getting hungry.,Food request,Food request,Food request,Food request,Food request,Food request
7,general,Can someone help me get to the bathroom?,Bathroom assistance,Bathroom assistance,Bathroom assistance,Bathroom assistance,Bathroom assistance,Bathroom assistance
8,general,I need help getting out of bed.,Getting out of bed assistance,Getting out of bed assistance,Getting out of bed assistance,Getting out of bed assistance,Getting out of bed assistance,Getting out of bed assistance
9,general,Could someone help me sit up?,Sitting assistance,Sitting assistance,Sitting assistance,Sitting assistance,Sitting assistance,Sitting assistance
10,general,I can't reach the call button.,Call button assistance,Call button retrieval assistance   <MISS>,Call button retrieval assistance   <MISS>,Call button retrieval assistance   <MISS>,Call button retrieval assistance   <MISS>,Call button retrieval assistance   <MISS>
11,general,Could someone adjust my pillow?,Pillow adjustment,Pillow adjustment,Pillow adjustment,Pillow adjustment,Pillow adjustment,Pillow adjustment
12,general,Can I have another blanket?,Blanket request,Blanket request,Blanket request,Blanket request,Blanket request,Blanket request
13,general,"I'm feeling cold, could I have a blanket?",Blanket request,Blanket request,Blanket request,Blanket request,Blanket request,Blanket request
14,general,Can you turn the light down please?,Light adjustment,Light adjustment,Light adjustment,Light adjustment,Light adjustment,Light adjustment
15,general,Could you close the curtains?,Curtain adjustment,Curtain adjustment,Curtain adjustment,Curtain adjustment,Curtain adjustment,Curtain adjustment
16,general,Can someone open the window?,Window adjustment,Window adjustment,Window adjustment,Window adjustment,Window adjustment,Window adjustment
17,general,Could I have some tissues please?,Tissues request,Tissues request,Tissues request,Tissues request,Tissues request,Tissues request
18,general,Can you bring me a towel?,Towel request,Towel request,Towel request,Towel request,Towel request,Towel request
19,general,I need some help washing my hands.,Handwashing assistance,Handwashing assistance,Handwashing assistance,Handwashing assistance,Handwashing assistance,Handwashing assistance
20,general,Could someone help me get dressed?,Dressing assistance,Dressing assistance,Dressing assistance,Dressing assistance,Dressing assistance,Dressing assistance
21,general,I need help with my shoes.,Shoe assistance,Shoe assistance request   <MISS>,Shoe assistance,Shoe assistance,Shoe assistance,Shoe assistance
22,general,Can you help me find my glasses?,Glasses retrieval assistance,Glasses retrieval assistance,Glasses retrieval assistance,Glasses retrieval assistance,Glasses retrieval assistance,Glasses retrieval assistance
23,general,I can't find my phone.,Phone retrieval assistance,Phone retrieval assistance,Phone retrieval assistance,Phone retrieval assistance,Phone retrieval assistance,Phone retrieval assistance
24,general,Could someone bring my phone over?,Phone retrieval assistance,Phone retrieval assistance,Phone retrieval assistance,Phone retrieval assistance,Phone retrieval assistance,Phone retrieval assistance
25,general,My headphones are out of reach.,Headphones retrieval assistance,Headphones retrieval assistance,Headphones retrieval assistance,Headphones retrieval assistance,Headphones retrieval assistance,Headphones retrieval assistance
26,general,Can you get my bag from over there?,Bag retrieval assistance,Bag retrieval assistance,Bag retrieval assistance,Bag retrieval assistance,Bag retrieval assistance,Bag retrieval assistance
27,general,Could someone bring my book?,Book retrieval assistance,Book retrieval assistance,Book retrieval assistance,Book retrieval assistance,Book retrieval assistance,Book retrieval assistance
28,general,I need my charger please.,Charger request,Charger request,Charger request,Charger request,Charger request,Charger request
29,general,Can you plug my charger in?,Charger assistance,Charger retrieval assistance   <MISS>,Charger request   <MISS>,Charger request   <MISS>,Charger request   <MISS>,Charger request   <MISS>
30,general,Could someone turn the television on?,Television assistance,Television assistance,Television assistance,Television assistance,Television assistance,Television assistance
31,general,Can you turn the television off?,Television assistance,Television assistance,Television assistance,Television assistance,Television assistance,Television assistance
32,general,Could you lower the television volume?,Television volume adjustment,Television volume adjustment,Television volume adjustment,Television volume adjustment,Television volume adjustment,Television volume adjustment
33,general,I can't hear the television very well.,Television volume adjustment,Television volume adjustment,Television assistance   <MISS>,Television assistance   <MISS>,Television adjustment   <MISS>,Television volume adjustment
34,general,Can someone come and check on me?,Check-in request,Health check request   <MISS>,Health check request   <MISS>,Health check request   <MISS>,Health check request   <MISS>,Health check request   <MISS>
35,general,Could a nurse come to my room please?,Nurse assistance request,Nurse assistance request,Nurse assistance request,Immediate assistance request   <MISS>,Nurse assistance request,Nurse assistance request
36,general,Can someone come when they get a chance?,Staff assistance request,Staff assistance request,Staff assistance request,Immediate assistance request   <MISS>,Immediate assistance request   <MISS>,Staff assistance request
